Sequence_ID	Collected_by	Collection_date	Country	Identified_by	Lat_Lon	Specimen_voucher
DBG-F-030613-ITS	Andrew W. Wilson; Gary Olds	9-Mar-2021	United States of America: Colorado, Denver, Denver Botanic Gardens, 909 York Street, Boettcher Tropical Conservatory, next to duck pond.	Andrew W. Wilson	39.732605 -104.960395	DBG:DBG:DBG-F-030613
DBG-F-030552-ITS	Ed Lubow; Ikuko Lubow; Andrew W. wilson	18-Jul-2020	United States of America: Colorado, El Paso, Jimmy Camp Creek woodlands about 1km East by Northeast of intersection for Hwy24 and Constitution Ave	Ed Lubow	38.861 -104.655	DBG:DBG:DBG-F-030552
DBG-F-030613-ITS	Andrew W. Wilson; Gary Olds	9-Mar-2021	United States of America: Colorado, Denver, Denver Botanic Gardens, 909 York Street, Boettcher Tropical Conservatory, next to duck pond.	Andrew W. Wilson	39.732605 -104.960395	DBG:DBG:DBG-F-030613
DBG-F-030552-ITS	Ed Lubow; Ikuko Lubow; Andrew W. wilson	18-Jul-2020	United States of America: Colorado, El Paso, Jimmy Camp Creek woodlands about 1km East by Northeast of intersection for Hwy24 and Constitution Ave	Ed Lubow	38.861 -104.655	DBG:DBG:DBG-F-030552
DBG-F-030545-ITS	Andrew W. Wilson; Ed Lubow; Ikuko Lubow	18-Jul-2020	United States of America: Colorado, El Paso, Jimmy Camp Creek woodlands about 1km East by Northeast of intersection for Hwy24 and Constitution Ave	Andrew W. Wilson	38.866 -104.652	DBG:DBG:DBG-F-030545
DBG-F-029532-ITS	Justin Loucks	13-Aug-2018	United States of America: Colorado, San Miguel, Near Bear Creek, Telluride		 	DBG:DBG:DBG-F-029532
DBG-F-030128-ITS	Justin Loucks; Alexandria Sterling	26-Mar-2019	United States of America: Colorado, Douglas, Indian Creek Trail	Ed Lubow	39.3813 -105.1036	DBG:DBG:DBG-F-030128
DBG-F-030127-ITS	Justin Loucks; Alexandria Sterling	26-Mar-2019	United States of America: Colorado, Douglas, Indian Creek Trail	Ed Lubow	39.3806 -105.1026	DBG:DBG:DBG-F-030127
DBG-F-030125-ITS	Justin Loucks	17-Oct-2018	United States of America: Colorado, Denver, Cheesman Park	Justin Loucks	39.7348 -104.9653	DBG:DBG:DBG-F-030125
DBG-F-030126-ITS	Justin Loucks	23-Jan-2019	United States of America: Colorado, Denver, Auraria Campus, Science Building Greenhouse	Andrew Wilson	 	DBG:DBG:DBG-F-030126
DBG-F-030165-ITS	Justin Loucks	19-May-2019	United States of America: Colorado, Arapahoe, Mission Viejo Park	Ed Lubow	 	DBG:DBG:DBG-F-030165
DBG-F-030161-ITS	Justin Loucks; Lux Sterling	16-Jun-2019	United States of America: Colorado, Jefferson, Pike National Forest. SW of Redskin Crk. Rd. and Deckers Rd.	Justin Loucks	39.33302 -105.26665	DBG:DBG:DBG-F-030161
DBG-F-030164-ITS1	Justin Loucks	24-May-2019	United States of America: Colorado, Denver, Congress Park	Justin Loucks	 	DBG:DBG:DBG-F-030164
DBG-F-030160-ITS1	Justin Loucks	1-Jan-2019	United States of America: Colorado, Denver, 	Justin Loucks	 	DBG:DBG:DBG-F-030160
DBG-F-030159-ITS1	Justin Loucks; Lux Sterling	26-May-2019	United States of America: Colorado, Boulder, ~2 km SW of Ward, uphill from Peak to Peak Hwy.	Justin Loucks	 	DBG:DBG:DBG-F-030159
DBG-F-030158-ITS1	Justin Loucks; Lux Sterling	16-Jun-2019	United States of America: Colorado, Jefferson, Pike National Forest. SW of Redskin Crk. Rd. and Deckers Rd.	Justin Loucks	39.33438 -105.26284	DBG:DBG:DBG-F-030158
DBG-F-030168-ITS1	Justin Loucks; Leland Kelly	18-May-2019	United States of America: Colorado, Fremont, Texas Creek Recreation Area	Ed Lubow	38.446 -105.605	DBG:DBG:DBG-F-030168
DBG-F-030163-ITS1	Justin Loucks; Lux Sterling	16-Jun-2019	United States of America: Colorado, Jefferson, Pike National Forest. SW of Redskin Crk. Rd. and Deckers Rd.	Justin Loucks	39.33176 -105.26852	DBG:DBG:DBG-F-030163
DBG-F-030166-ITS1	Justin Loucks; Lux Sterling	26-May-2019	United States of America: Colorado, Boulder, Left Hand Creek, off Peak to Peak Hwy.	Lux Sterling	 	DBG:DBG:DBG-F-030166
DBG-F-030169-ITS1	Justin Loucks; Lux Sterling	16-Jun-2019	United States of America: Colorado, Jefferson, Pike National Forest. SW of Redskin Crk. Rd. and Deckers Rd.	Justin Loucks	39.33325 -105.26657	DBG:DBG:DBG-F-030169
DBG-F-030155-ITS1	Justin Loucks	30-Dec-2018	United States of America: Colorado, Boulder, near Eldora Peterson Lake	Justin Loucks	39.936725 -105.578003	DBG:DBG:DBG-F-030155
DBG-F-030157-ITS1	Justin Loucks	13-Aug-2018	United States of America: Colorado, San Miguel, South of Telluride	Justin Loucks	 	DBG:DBG:DBG-F-030157
DBG-F-030156-ITS2	Justin Loucks	30-Dec-2018	United States of America: Colorado, Boulder, near Eldora Peterson Lake	Justin Loucks	39.9371 -105.57412	DBG:DBG:DBG-F-030156
DBG-F-030153-ITS2	Justin Loucks; Lux Sterling	19-Jun-2019	United States of America: Colorado, Arapahoe, private garden, near Radcliff Ave. & Lincoln St.	Justin Loucks	 	DBG:DBG:DBG-F-030153
DBG-F-030154-ITS2	Justin Loucks; Lux Sterling	6-Jul-2019	United States of America: Colorado, Chaffee, Mushroom Gulch	Justin Loucks	38.857 -105.958	DBG:DBG:DBG-F-030154
DBG-F-030152-ITS2	Justin Loucks	28-May-2019	United States of America: Colorado, Denver, South of Science Building, Auraria Campus	Justin Loucks	 	DBG:DBG:DBG-F-030152
DBG-F-030207-ITS2	Justin Loucks; Lux Sterling	24-Aug-2019	United States of America: Colorado, Summit, 287 Hamilton Lane, private residence	Justin Loucks	39.37706 -106.06463	DBG:DBG:DBG-F-030207
DBG-F-030206-ITS2	Justin Loucks; Lux Sterling	28-Jul-2019	United States of America: Colorado, Jefferson, Hankins Pass Trail #630, Lost Creek Wilderness	Justin Loucks	 	DBG:DBG:DBG-F-030206
DBG-F-030209-ITS2	Justin Loucks	1-Aug-2019	United States of America: Colorado, Denver, Denver Botanic Gardens, near tea house	Justin Loucks	 	DBG:DBG:DBG-F-030209
DBG-F-030211-ITS2	Justin Loucks	1-Aug-2019	United States of America: Colorado, Denver, Denver Botanic Gardens, near tea house	Justin Loucks	 	DBG:DBG:DBG-F-030211
DBG-F-030202-ITS2	Justin Loucks; Lux Sterling	28-Jul-2019	United States of America: Colorado, Jefferson, Wigwam Trail #609, Lost Creek Wilderness	Justin Loucks	 	DBG:DBG:DBG-F-030202
DBG-F-030212-ITS2	Justin Loucks; Lux Sterling	28-Jul-2019	United States of America: Colorado, Jefferson, Wigwam Trail #609, Lost Creek Wilderness	Justin Loucks	 	DBG:DBG:DBG-F-030212
DBG-F-030215-SSU	Justin Loucks; Lux Sterling	14-Jul-2019	United States of America: Colorado, Douglas, East of Rampart Range Riding Area, SW of Sedalia	Justin Loucks	39.3755 -105.0928	DBG:DBG:DBG-F-030215
DBG-F-030203-SSU	Justin Loucks; Lux Sterling	24-Aug-2019	United States of America: Colorado, Summit, 287 Hamilton Lane, private residence	Justin Loucks	39.37706 -106.06463	DBG:DBG:DBG-F-030203
DBG-F-030205-SSU	Justin Loucks; Lux Sterling	24-Aug-2019	United States of America: Colorado, Summit, 287 Hamilton Lane, private residence	Justin Loucks	39.37706 -106.06463	DBG:DBG:DBG-F-030205
