Sequence_ID	Organism	Collected_by	Collection_date	Country	Identified_by	Lat_Lon	Specimen_voucher
Seq-DBG-F-032103	Ganoderma lucidum	Ryan Lawrence; Ed Lubow	8-Apr-2022	United States of America: Kansas, , 	Ed Lubow	39.106045 -96.60222	DBG:DBG:DBG-F-032103
Seq-DBG-F-032959	Phellinus gilva	Pam Paulsen; Andrew W. Wilson; Justin Loucks	7-Apr-2023	United States of America: Kansas, Riley, Ogden Disc Golf Course	Bitty Roy	39.11075 -96.70341	DBG:DBG:DBG-F-032959
Seq-DBG-F-032958	Dendrothele nivosa	Thomas Lappin; Andrew W. Wilson; Justin Loucks	7-Apr-2023	United States of America: Kansas, Riley, Konza Prarie Bio Resarch Station, forest near Kings Creek Loop	Bitty Roy	39.10193 -96.58674	DBG:DBG:DBG-F-032958
Seq-DBG-F-033020	Thelephora 	Andrew W. Wilson	9-Sep-2023	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; small section of forest	Andrew W. Wilson	39.09954 -96.58802	DBG:DBG:DBG-F-033020
Seq-DBG-F-033184	Daedaleopsis confragosa	Pam Paulsen; Andrew W. Wilson; Justin Loucks	7-Apr-2023	United States of America: Kansas, Riley, Ogden Disc Golf Course	Bitty Roy	39.11075 -96.70341	DBG:DBG:DBG-F-033184
Seq-DBG-F-033359	Vitreoporus dichrous	Justin Loucks	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Bitty Roy; Justin Loucks	39.101944 -96.584132	DBG:DBG:DBG-F-033359
Seq-DBG-F-033360	Stereum hirsutum	Trent Gonzolas	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Ed Lubow	39.102095 -96.585112	DBG:DBG:DBG-F-033360
Seq-DBG-F-033361	 	Trent Gonzolas	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Andrew W. Wilson	39.1021 -96.587301	DBG:DBG:DBG-F-033361
Seq-DBG-F-033362	Stereum hirsutum	Pat Joe Russell	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Roy E. Halling	39.101852 -96.585242	DBG:DBG:DBG-F-033362
Seq-DBG-F-033363	Auricularia americana	Justin Loucks	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Ed Lubow	39.101395 -96.582908	DBG:DBG:DBG-F-033363
